No,formula,補気,理気,降気,補血,駆瘀血,利水,補腎,温,清,瀉下,鎮痛,健胃・整腸,鎮咳,安心鎮静,去痰,清頭目,止瀉,潤燥,発表,鎮痙,制吐・鎮嘔,解毒,解熱・消炎,止血
38.0,当帰四逆加呉茱萸生姜湯,2.440669986999996,6.871588691,6.588295110000001,1.165314014,0.3821005630000004,13.464770642,1.1646539470000001,12.572734228,-5.0858866659999995,-0.937572549,16.839718610000002,5.849046574,4.967488066999999,1.5873297039999994,12.247117458999998,-0.81109521,-1.6937859419999997,-0.8666092529999998,-0.5907345320000001,2.1934130409999995,9.692647034,-0.2978142119999998,8.744045351,-1.306498572
39.0,苓桂朮甘湯,-0.4295932519999994,-1.2673349929999997,-1.5506285739999996,-1.352282336,-2.135495787,-1.352176993,1.5670778509999996,-0.03714121299999999,-1.9833759449999997,-0.937572549,-2.7576805210000006,1.6135061909999981,-3.4646359480000006,-1.180986512,-1.7257904459999993,-0.81109521,-1.4514254589999995,-0.4641853489999998,2.409829165999999,-0.16236626999999998,-0.24354386400000008,-2.6535935230000005,-3.9117164030000016,-1.306498572
40.0,猪苓湯,1.3022818329999983,-1.2673349929999997,-1.5506285739999996,5.981465453,-2.135495787,12.487298156,-1.436655059,-3.040874123000001,-2.8920802959999996,-0.937572549,-3.1756926770000016,2.4366769249999987,1.7192246000000002,-2.0896908629999995,-6.473817481000001,-0.81109521,-0.25698836799999997,21.212148824,-3.192043538000001,-2.312253511,-3.247276774000001,-2.6535935230000005,6.638293095999998,6.027249217
41.0,補中益気湯,12.181043786000002,-1.2673349929999997,-1.5506285739999996,1.165314014,0.3821005630000004,4.5558855609999975,-1.436655059,-0.5232777730000002,3.0161244070000013,-0.937572549,7.092866576,3.679478891999998,0.7091475359999997,2.6880162319999994,2.849926661999998,-0.81109521,2.258977113999999,-0.15944930999999982,5.576893072999999,-0.4503965450000001,4.523005933999999,8.04772358,1.1865617600000005,-1.306498572
43.0,六君子湯,2.397845645999996,-1.2673349929999997,1.3285894239999998,-1.352282336,-2.135495787,5.035839044999997,-1.436655059,-3.040874123000001,-2.5526972699999995,-0.937572549,-0.9891799680000002,6.212668287999997,3.2467084149999996,0.3704613980000002,5.387487540999999,-0.81109521,2.258977113999999,-0.15944930999999982,-0.19197012000000005,-0.792053664,7.402223931999998,-2.6535935230000005,-6.915449313000002,-1.306498572
45.0,桂枝湯,-0.028512431000000615,-1.2673349929999997,-1.5506285739999996,-1.352282336,-2.135495787,-1.3595464779999995,1.5670778509999996,2.683078425999999,-5.0858866659999995,-0.937572549,0.36361993899999795,-1.3930839089999998,-0.7705755329999999,-1.2842766179999996,-1.6298698249999997,-0.81109521,-1.3293456139999993,-0.4641853489999998,-0.18831062800000017,2.557853368999999,2.4505165510000007,0.06662611600000032,-3.9117164030000016,-1.306498572
46.0,七物降下湯,7.519679062,2.112463093999999,-1.5506285739999996,7.927232293,4.1513721609999985,-2.7811971190000015,-1.436655059,5.966213463999998,11.684796715000001,-0.937572549,6.114592515999999,-0.9297859289999995,-5.614523189000001,9.620316109999997,-6.473817481000001,5.349996095,4.831745690999998,-3.4679182590000006,-3.192043538000001,8.024911523,2.913814530999999,4.3382565049999995,2.2382886729999982,1.6861481090000001
47.0,釣藤散,0.3449445880000005,-1.2673349929999997,0.9428473560000004,-1.352282336,-2.135495787,-0.16585408999999954,-1.436655059,-3.040874123000001,8.608876484,-0.937572549,24.595638944,3.2016562129999975,8.195408550999998,9.411265916999998,7.336114258999999,14.321796291,-1.710124424,6.7925036699999986,16.398403315000003,11.282447083,7.344926232999999,12.479297978,16.559008924999997,-1.306498572
48.0,十全大補湯,15.194872509,2.112463093999999,-1.5506285739999996,7.537758782,3.7618986499999982,2.010749044999999,1.1646539470000001,7.813608630999999,0.10056638499999992,-0.937572549,4.805039047999998,3.167596093999998,-3.752666223000001,3.8077035740000005,-2.013820720999999,-0.81109521,3.7695720099999974,1.998608905,2.007405261999999,1.9053827659999993,2.2192503899999996,3.973816177,-1.3214936259999999,1.6861481090000001
50.0,荊芥連翹湯,2.275307739999997,1.1225431540000002,-1.5506285739999996,4.933926024999999,2.0345918119999986,5.012451869999997,-1.436655059,2.7950010019999993,24.748308922999996,-0.937572549,35.51363716500003,14.880730682000001,-0.4666773760000003,16.705210122999993,2.3179995679999976,14.441714591,9.752612312999998,-3.4679182590000006,19.361423251000005,4.734090035999999,6.551722421999999,21.143690901999996,28.838920272,8.998861376999999
